Model,MSO64B
Channel,CH1,,Channel,CH2,,Channel,REF1,,Channel,REF2
Label,,,Label,,,Label,CH1,,Label,CH2
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10,,Sample Interval,8.00000000e-10
Record Length,5000,,Record Length,5000,,Record Length,5000,,Record Length,5000
Zero Index,349.10156250,,Zero Index,349.10156250,,Zero Index,349.11328125,,Zero Index,349.11328125
Vertical Units,V,,Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000,,yOffset,0.000000
yPosition,2.160000,,yPosition,2.180000,,yPosition,2.160000,,yPosition,2.180000

Labels,,,,Labels,CH1,,Labels,CH2
TIME,CH1,CH2,,TIME,REF1,,TIME,REF2
-1.92881250e-07,3.15625000e-03,4.60937500e-03,,-1.92890625e-07,4.18750010e-03,,-1.92890625e-07,1.44531252e-02
-1.92081250e-07,5.59375000e-03,1.14843750e-02,,-1.92090625e-07,6.53125020e-03,,-1.92090625e-07,1.11718746e-02
-1.91281250e-07,-3.03125000e-03,7.26562500e-03,,-1.91290625e-07,5.68749988e-03,,-1.91290625e-07,9.14062466e-03
-1.90481250e-07,2.43750000e-03,8.12500000e-03,,-1.90490625e-07,2.09375005e-03,,-1.90490625e-07,3.35937506e-03
-1.89681250e-07,8.53125000e-03,4.84375000e-03,,-1.89690625e-07,8.09375010e-03,,-1.89690625e-07,1.27343750e-02
-1.88881250e-07,7.84375000e-03,1.55468750e-02,,-1.88890625e-07,5.93749993e-03,,-1.88890625e-07,5.23437513e-03
-1.88081250e-07,2.18750000e-03,1.18750000e-02,,-1.88090625e-07,8.93750042e-03,,-1.88090625e-07,8.20312463e-03
-1.87281250e-07,5.46875000e-03,1.79687500e-02,,-1.87290625e-07,2.43750005e-03,,-1.87290625e-07,8.04687478e-03
-1.86481250e-07,4.12500000e-03,1.17187500e-02,,-1.86490625e-07,1.01875002e-02,,-1.86490625e-07,1.27343750e-02
-1.85681250e-07,5.31250000e-03,1.66406250e-02,,-1.85690625e-07,1.96875003e-03,,-1.85690625e-07,4.60937480e-03
-1.84881250e-07,1.28125000e-03,8.98437500e-03,,-1.84890625e-07,1.04062501e-02,,-1.84890625e-07,2.26562493e-03
-1.84081250e-07,9.75000000e-03,8.04687500e-03,,-1.84090625e-07,4.18750010e-03,,-1.84090625e-07,7.57812522e-03
-1.83281250e-07,1.21875000e-03,1.25000000e-02,,-1.83290625e-07,6.06250018e-03,,-1.83290625e-07,1.28124999e-02
-1.82481250e-07,1.00000000e-02,2.03125000e-03,,-1.82490625e-07,5.03124995e-03,,-1.82490625e-07,6.56249980e-03
-1.81681250e-07,2.78125000e-03,1.75000000e-02,,-1.81690625e-07,9.49999969e-03,,-1.81690625e-07,5.54687483e-03
-1.80881250e-07,4.75000000e-03,1.03125000e-02,,-1.80890625e-07,7.34374998e-03,,-1.80890625e-07,4.14062478e-03
-1.80081250e-07,8.71875000e-03,3.43750000e-03,,-1.80090625e-07,1.07187498e-02,,-1.80090625e-07,1.09374998e-02
-1.79281250e-07,4.46875000e-03,1.21875000e-02,,-1.79290625e-07,8.62499978e-03,,-1.79290625e-07,6.64062519e-03
-1.78481250e-07,3.75000000e-03,1.25781250e-02,,-1.78490625e-07,1.18437503e-02,,-1.78490625e-07,4.92187496e-03
-1.77681250e-07,2.25000000e-03,1.59375000e-02,,-1.77690625e-07,1.68750004e-03,,-1.77690625e-07,4.14062478e-03
-1.76881250e-07,7.81250000e-03,6.40625000e-03,,-1.76890625e-07,8.46874993e-03,,-1.76890625e-07,6.40624994e-03
-1.76081250e-07,7.84375000e-03,8.82812500e-03,,-1.76090625e-07,9.43749957e-03,,-1.76090625e-07,1.40624996e-02
-1.75281250e-07,5.40625000e-03,1.91406250e-02,,-1.75290625e-07,5.59375016e-03,,-1.75290625e-07,2.10937508e-03
-1.74481250e-07,5.50000000e-03,-2.34375000e-04,,-1.74490625e-07,6.81249984e-03,,-1.74490625e-07,1.69531256e-02
-1.73681250e-07,4.68750000e-03,1.29687500e-02,,-1.73690625e-07,6.18749997e-03,,-1.73690625e-07,1.25781251e-02
-1.72881250e-07,5.53125000e-03,9.76562500e-03,,-1.72890625e-07,9.84374993e-03,,-1.72890625e-07,1.40624996e-02
-1.72081250e-07,4.53125000e-03,8.82812500e-03,,-1.72090625e-07,7.00000022e-03,,-1.72090625e-07,1.65624991e-02
-1.71281250e-07,8.12500000e-03,9.29687500e-03,,-1.71290625e-07,8.53125006e-03,,-1.71290625e-07,1.63281243e-02
-1.70481250e-07,2.71875000e-03,1.00000000e-02,,-1.70490625e-07,6.37499988e-03,,-1.70490625e-07,-7.81249983e-05
-1.69681250e-07,5.31250000e-03,5.93750000e-03,,-1.69690625e-07,5.71874995e-03,,-1.69690625e-07,1.82031244e-02
-1.68881250e-07,2.37500000e-03,4.92187500e-03,,-1.68890625e-07,9.96875018e-03,,-1.68890625e-07,4.21875017e-03
-1.68081250e-07,1.02187500e-02,8.04687500e-03,,-1.68090625e-07,2.40624999e-03,,-1.68090625e-07,1.28906248e-02
-1.67281250e-07,3.03125000e-03,6.79687500e-03,,-1.67290625e-07,3.37500009e-03,,-1.67290625e-07,3.59375007e-03
-1.66481250e-07,3.78125000e-03,8.04687500e-03,,-1.66490625e-07,9.34374984e-03,,-1.66490625e-07,-3.59375007e-03
-1.65681250e-07,1.21875000e-03,2.18750000e-03,,-1.65690625e-07,1.25000002e-02,,-1.65690625e-07,1.28906248e-02
-1.64881250e-07,5.84375000e-03,1.01562500e-02,,-1.64890625e-07,4.34374996e-03,,-1.64890625e-07,2.03124993e-03
-1.64081250e-07,8.00000000e-03,2.18750000e-03,,-1.64090625e-07,8.31250008e-03,,-1.64090625e-07,9.60937515e-03
-1.63281250e-07,9.56250000e-03,1.29687500e-02,,-1.63290625e-07,7.15625007e-03,,-1.63290625e-07,-5.46875002e-04
-1.62481250e-07,9.06250000e-04,3.98437500e-03,,-1.62490625e-07,1.13749998e-02,,-1.62490625e-07,3.12500005e-03
-1.61681250e-07,1.19375000e-02,8.98437500e-03,,-1.61690625e-07,5.90624986e-03,,-1.61690625e-07,7.03124981e-03
-1.60881250e-07,3.90625000e-03,1.33593750e-02,,-1.60890625e-07,1.00624999e-02,,-1.60890625e-07,1.14843752e-02
-1.60081250e-07,3.81250000e-03,1.32031250e-02,,-1.60090625e-07,2.87500001e-03,,-1.60090625e-07,3.51562491e-03
-1.59281250e-07,1.21875000e-03,-6.25000000e-04,,-1.59290625e-07,8.59375019e-03,,-1.59290625e-07,1.16406251e-02
-1.58481250e-07,8.65625000e-03,9.76562500e-03,,-1.58490625e-07,8.18749983e-03,,-1.58490625e-07,5.39062498e-03
-1.57681250e-07,-7.50000000e-04,1.32812500e-02,,-1.57690625e-07,5.06250001e-03,,-1.57690625e-07,1.28906248e-02
-1.56881250e-07,5.25000000e-03,6.01562500e-03,,-1.56890625e-07,7.78124994e-03,,-1.56890625e-07,4.60937480e-03
-1.56081250e-07,1.93750000e-03,8.82812500e-03,,-1.56090625e-07,9.43749957e-03,,-1.56090625e-07,5.07812481e-03
-1.55281250e-07,1.81250000e-03,1.13281250e-02,,-1.55290625e-07,3.40624992e-03,,-1.55290625e-07,1.54687501e-02
-1.54481250e-07,1.07187500e-02,1.40625000e-03,,-1.54490625e-07,2.34375009e-03,,-1.54490625e-07,1.45312501e-02
